GUILAGUIJP;libe
GUILAGUIJP;France24_fr
GUILAGUIJP;RFI
GUILAGUIJP;bbcafrique
GUILAGUIJP;RFIAfrique
GUILAGUIJP;jeune_afrique
GUILAGUIJP;EmmanuelMacron
GUILAGUIJP;FRANCE24
LePetitDuc_Web;edwyplenel
LePetitDuc_Web;CNEWS
LePetitDuc_Web;lesinrocks
LePetitDuc_Web;franceinfo
LePetitDuc_Web;jmaphatie
LePetitDuc_Web;Rue89
LePetitDuc_Web;lobs
LePetitDuc_Web;France2tv
LePetitDuc_Web;franceinter
LePetitDuc_Web;Francetele
LePetitDuc_Web;LPJofficiel
LePetitDuc_Web;lofejoma
LePetitDuc_Web;FabSintes
LePetitDuc_Web;le_Parisien
LePetitDuc_Web;canardenchaine
LePetitDuc_Web;Charlie_Hebdo_
LePetitDuc_Web;France24_fr
LePetitDuc_Web;afpfr
LePetitDuc_Web;Le_Figaro
LePetitDuc_Web;libe
LePetitDuc_Web;lemondefr
WinchesterDea20;TPMP
WinchesterDea20;EmmanuelMacron
WinchesterDea20;France2tv
WinchesterDea20;lemonde_pol
WinchesterDea20;lesinrocks
WinchesterDea20;franceinter
WinchesterDea20;ARTEfr
WinchesterDea20;RFI
WinchesterDea20;France24_fr
WinchesterDea20;le_Parisien
WinchesterDea20;LCI
WinchesterDea20;M6
WinchesterDea20;C8TV
WinchesterDea20;NRJ12lachaine
WinchesterDea20;publicsenat
WinchesterDea20;LCP
WinchesterDea20;LaTribune
WinchesterDea20;LesEchos
WinchesterDea20;lobs
WinchesterDea20;MarianneleMag
WinchesterDea20;LEXPRESS
WinchesterDea20;LePoint
WinchesterDea20;Europe1
WinchesterDea20;Anne_Hidalgo
WinchesterDea20;leJDD
WinchesterDea20;LeHuffPost
WinchesterDea20;Mediapart
WinchesterDea20;franceinfo
WinchesterDea20;Le_Figaro
WinchesterDea20;libe
WinchesterDea20;lemondefr
WinchesterDea20;afpfr
WinchesterDea20;BFMTV
WinchesterDea20;puremedias
WinchesterDea20;TF1
WinchesterDea20;gouvernementFR
WinchesterDea20;Francetele
said_tarza;Medi1TV
said_tarza;libe
said_tarza;ThomasWieder
said_tarza;lemondefr
Moustap86528445;beinsports_FR
Moustap86528445;libe
Moustap86528445;Le_Figaro
Moustap86528445;franceinfo
Moustap86528445;TF1
Moustap86528445;jeune_afrique
